REGION,ISLAND,PRIM,SECO,PLNK,PISC_noSJ,ALLF_noSJ,HC,CX,CHL,SSTL,HUM,HDIST,AT,WV
MARIAN,Agrihan,17.26019745,5.924459981,14.69723571,9.447178778,47.30198485,15.94297343,0.648202999,0.041548097,25.97,0,0,0,21.821479
MARIAN,Aguijan,11.83991814,3.85865006,2.796469912,1.551017204,20.04605531,22.78263281,0.460021496,0.038363303,26.81,0,22.89478145,0,18.35567888
MARIAN,Asuncion,16.08645231,5.066106819,6.910320682,9.349169058,37.28194508,17.96019272,0.703758588,0.041928097,25.58,0,0,0,19.55480933
MARIAN,Farallon de Pajaros,15.7382614,8.238783595,13.27314835,12.44247726,49.69267061,21.01927706,0.785279104,0.043154975,25.09,0,0,0,20.99872032
MARIAN,Guam,9.997036911,4.321594297,2.128572614,1.545724078,17.9929279,23.04191448,0.502269084,0.035696872,26.98,4.723985355,1.215870883,0,15.53981399
MARIAN,Maug,16.16625128,4.093519313,7.523307903,9.100719161,36.88379765,35.14866145,0.579126426,0.043782293,25.46,0,0,0,19.55480933
MARIAN,Pagan,13.71956791,4.365662756,5.936450885,5.429252191,29.45093375,15.40381376,0.680379385,0.045336177,26.09,0,0,0,20.32935179
MARIAN,Rota,7.97665271,3.512416084,0.954840761,0.897057768,13.34096732,19.5496513,0.489669938,0.0312371,26.84,1.377694379,12.58047275,0,16.89064704
MARIAN,Saipan,5.609741192,2.865171452,1.659462882,0.611217645,10.74559317,14.51805831,0.349613631,0.047226557,26.72,3.691243151,2.455368744,0,18.05037853
MARIAN,Su-Gu-Al,16.12992763,7.825847373,6.87859938,6.936343285,37.77071767,22.43800857,0.621746951,0.042462416,26.26,0,7.508622683,0,20.24175788
MARIAN,Tinian,7.016614792,5.077668185,2.677523573,1.736769448,16.508576,18.21752979,0.374017045,0.042263713,26.75,1.489126673,11.08962558,0,18.05037853
MHI,Hawaii,10.64562433,5.485885961,2.998117734,2.106432481,21.23606051,23.85398674,0.650989016,0.066264004,24.12,3.315207624,2.390416818,0,26.47633037
MHI,Kauai,6.121188862,6.232486027,2.350328323,1.631249472,16.33525268,6.370790442,0.324523179,0.0875452,23.56,1.903630056,6.059982057,0,34.80796459
MHI,Lanai,8.87574571,4.368990595,3.277647108,3.364157594,19.87056918,23.06704477,0.495037667,0.084018973,24.1,1.016235839,19.84483831,0,28.55664092
MHI,Maui,9.694873798,5.551762032,2.0089908,1.387737253,18.64336388,18.60960467,0.642348535,0.076004744,23.85,3.603750314,9.146165293,0,29.72501102
MHI,Molokai,13.06894078,5.306425698,1.520314038,1.743577665,21.63034685,21.98598775,0.488695756,0.089700239,23.89,0.762630192,9.494852516,0,28.55664092
MHI,Niihau,19.70166184,11.99209642,2.784470334,6.084029647,40.35651277,3.144470509,0.460329349,0.067249427,23.65,0.135451235,2.709433602,0,34.80796459
MHI,Oahu,3.441560789,3.62990101,0.892841533,0.320339735,8.261089387,10.6880512,0.292155015,0.078791402,23.87,6.16018805,2.819505701,0,28.55664092
NWHI,French Frigate,12.68721588,9.277240245,5.624150885,5.884554915,33.47316192,32.8389452,0.456721979,0.088450753,22.78,0,0,1,39.167735
NWHI,Kure,18.95648212,11.0623931,4.185550832,5.721698673,39.92612473,15.16728926,0.64463667,0.094871124,18.98,0,0,1,45.50798203
NWHI,Laysan,12.75167811,8.64225968,1.268718954,12.98667357,35.64933031,9.655152667,0.396742972,0.076065141,21.53,0,0,0,42.25883431
NWHI,Lisianski,17.97986541,8.415962868,3.068059314,33.47033772,62.92260065,37.16237657,0.872471429,0.095184263,21.33,0,0,0,42.01227121
NWHI,Maro,21.56808601,5.582184971,5.715652414,9.550324324,42.41624772,32.47859359,0.633028823,0.10473175,21.73,0,0,1,40.55849249
NWHI,Midway,48.61811516,11.94984299,6.342346345,6.60213017,73.51243466,2.892976865,0.649199441,0.091086589,19.31,0.110202564,0,1,45.80114449
NWHI,Pearl & Hermes,12.50218831,9.415420674,4.084115686,4.993345399,30.99507007,9.335040262,0.684293054,0.11724314,19.69,0,0,1,46.09511577
PRIAs,Baker,18.47340784,6.00763958,14.22670597,17.25895686,55.68929003,32.93761202,0.674160653,0.190037661,27.46,0,0,0,20.85257056
PRIAs,Howland,15.93862354,10.77439032,22.10587127,15.48655672,64.30544185,34.37070346,0.67628717,0.184178176,27.34,0,0,0,21.49069311
PRIAs,Jarvis,34.37167539,13.70043257,28.89889886,27.26351495,104.2345218,20.37352016,0.549107991,0.21188724,26.52,0,0,0,24.89930997
PRIAs,Johnston,25.11853549,3.692944547,17.08146142,4.725601293,50.61854275,12.17663318,0.640392403,0.053058061,25.04,0,0,1,34.03375813
PRIAs,Kingman,28.67132186,12.6469924,44.03989795,44.27944832,129.6376605,30.83230476,0.495561871,0.125122731,27.37,0,0,1,30.32067655
PRIAs,Palmyra,43.02056039,20.43080934,28.21143715,25.24941997,116.7924526,24.59676366,0.547171285,0.124903998,27.3,0.084615951,0,1,30.32067655
PRIAs,Wake,21.33694113,4.117704907,6.262489173,3.423008565,35.14014378,24.10817149,0.692731137,0.041911134,25.39,0.732250871,0,1,28.03279729
SAMOA,Ofu & Olosega,26.14243241,8.525817531,6.350484421,4.418235044,45.43696941,24.72551794,0.713450542,0.04481301,27.11,0.57845373,7.230196388,0,23.40315384
SAMOA,Rose,14.73671914,3.087378516,6.276496625,5.993874788,30.09446907,18.58543543,0.740228388,0.041295095,26.94,0,3.220307852,1,27.1244809
SAMOA,Swains,8.829205293,4.052701648,10.39371957,3.80164399,27.0772705,38.36083668,0.921478712,0.051864663,27.91,0.246181657,0,0,21.15381429
SAMOA,Tau,17.43876402,6.763941591,4.495231516,2.421435848,31.11937298,22.34212157,0.547765599,0.04469412,27.15,0.887550513,7.38619602,0,23.40315384
SAMOA,Tutuila,13.88677999,3.631430552,6.035092056,1.940574655,25.49387725,21.82656212,0.695462092,0.060910384,27.12,3.358803033,0.268721904,0,22.34198298