weight,flatwing,tarsus,head,culmen,nalospi,wingchord,Location,Sex
55,56,19.7,30.4,12.1,8.3,13.8,Transition,female
53.5,54.5,20.8,30.6,12.8,8.6,14.8,Marsh,female
55,56,20.3,30.3,11.9,8.7,15.2,Marsh,female
52.5,53.5,20.8,30.3,12.6,8.8,15.5,Marsh,female
53,54,20.6,32.5,13.5,10.7,15.6,Transition,female
55,56,21.5,31.2,12.3,8.7,15.7,Marsh,female
55,56,20.8,31.6,13.2,9.1,15.7,Marsh,female
55.5,56.5,20.5,31.4,13.2,10.5,15.7,Transition,female
55,56.5,20.6,30.6,12.1,8.5,15.8,Marsh,female
54.5,55.5,20,30.7,11.3,8.4,15.8,Marsh,female
53,54.5,19.6,31.2,12.5,8.6,15.8,Marsh,female
54,55,21.1,31.3,13.5,9.6,15.8,Marsh,female
57,58,20.4,30.6,11.5,8.8,15.8,Transition,female
56.5,58.5,19.3,29.2,11.3,7.7,15.9,Transition,female
55.5,56.5,21,29.4,12.2,8.3,16,Marsh,female
55.5,57,20.8,30.1,11.7,7.7,16,Marsh,female
55.5,56,21.8,30.5,12.8,9.5,16,Marsh,female
57,58,21.2,31.2,11.6,8.5,16,Marsh,female
56.5,57,21.2,31.2,12.6,9.1,16,Marsh,female
53.5,54,20.2,30.7,12.5,8.3,16,Transition,female
56.5,57,20.9,31,12.3,8.7,16,Transition,female
56.5,57.5,20,31.1,12.9,9,16,Transition,female
54,55,20,31.8,13.5,9.4,16,Transition,female
51.5,52.5,21.2,31,12.3,8.5,16.1,Marsh,female
56,57,20.4,30.4,11.1,7.8,16.1,Transition,female
54.5,55.5,20.1,29.7,11.8,8,16.2,Marsh,female
58,59,19.5,31.4,12.6,8.4,16.2,Marsh,female
54.5,56,20.7,29.3,11.5,7.1,16.2,Transition,female
53,54,19.3,31.2,12.2,10,16.2,Transition,female
57,58,21.8,31.3,12.8,9.9,16.2,Transition,female
57,58,20.6,31.6,12.6,10.3,16.2,Transition,female
57,57.5,21.4,30.5,12.8,8.4,16.3,Marsh,female
57,58,18.9,30.6,11.5,8.7,16.3,Marsh,female
56.5,57.5,20.7,30.1,12,8.2,16.3,Transition,female
52.5,53.5,18.9,29.2,12,9.4,16.3,Transition,female
56.5,57,20.1,31.6,13,9.5,16.4,Marsh,female
55.5,56,20.1,30.6,12.5,8.8,16.4,Marsh,female
55,57,19.9,31.4,12.3,9.7,16.4,Marsh,female
56,57,21,31,13.1,8.8,16.4,Transition,female
54,55.5,20.7,31.2,13.1,10.2,16.4,Transition,female
55,56,20.5,31.3,13.1,9.4,16.4,Transition,female
56.5,57.5,20.3,30.5,11.9,8.2,16.5,Marsh,female
55,55.5,21.6,30.7,12.2,8.7,16.5,Marsh,female
56.5,57.5,20.6,31,12.1,9.3,16.5,Marsh,female
54.5,55.5,20.7,31,12.3,9.4,16.5,Marsh,female
58.5,59.5,21.2,31.3,11.8,9.5,16.5,Marsh,female
55,56,20.6,31.3,12.5,8.6,16.5,Marsh,female
54.5,55.5,21,31.4,11.9,9.1,16.5,Marsh,female
56,57,20.9,31.6,12.1,8.8,16.5,Marsh,female
54,55,21.4,31.6,12.9,9.4,16.5,Marsh,female
57,58,19.9,29.2,10.5,8,16.5,Transition,female
56,57,21,30.4,11.8,8.6,16.5,Transition,female
55,56.5,19.8,30.9,12.7,9.3,16.5,Transition,female
54.5,55.5,20.6,31.3,13.1,9.5,16.5,Transition,female
55,56,20.1,31.8,13.6,10.3,16.5,Transition,female
54.5,55.5,21.2,31.5,12.6,9.5,18.8,Marsh,male
54.5,55.5,21.8,30.5,12.1,9.5,16.5,Dune,female
54.5,55,21.8,31.5,13,9.2,16.5,Dune,female
56,56.5,20.9,30.9,13.3,9.1,16.6,Marsh,female
54,54.5,20.8,30.6,12.8,9.3,16.6,Marsh,female
54,55,20.9,30.7,13.2,9,16.6,Marsh,female
56,57,21.4,31.9,12.7,9.6,16.6,Marsh,female
55,56,20.7,30.3,12.8,8.9,16.6,Transition,female
55,56,20,30.7,12.7,8.9,16.6,Transition,female
56.5,57.5,20.6,32,13.4,9.7,16.6,Transition,female
54.5,55.5,20.8,32.1,13,9.5,16.6,Transition,female
57,58,21.3,32.1,13.8,9.2,16.6,Transition,female
51.5,52.5,21,28.5,10.2,6.3,16.7,Marsh,female
55,55.5,20.8,31.7,12.7,9,16.7,Marsh,female
55,56,20.3,31.6,13.4,9.1,16.7,Marsh,female
55,56,19.4,29.7,12.3,8.2,16.7,Transition,female
55,55.5,21.5,31.2,12.7,9,16.7,Transition,female
54,55,20.5,31.8,13,9.4,16.7,Transition,female
55,56,20.8,29.5,11.4,8.1,16.7,Dune,female
57.5,58,20.4,30.6,12.4,8.3,16.8,Marsh,female
58,60,22.1,30.7,13.3,9.7,16.8,Marsh,female
58,59.5,21.2,31,12,8.8,16.8,Marsh,female
56,57,20.5,30.8,12.8,9.7,16.8,Marsh,female
54,55,21.1,29.3,9.9,7.9,16.8,Transition,female
57.5,58.5,22.1,30.4,10.8,7.6,16.8,Transition,female
58,59,21.8,31.1,12.2,8.5,16.8,Transition,female
55,56,21,30.4,12.1,8.4,16.9,Marsh,female
54,55,21.3,31.5,12.6,8.8,16.9,Marsh,female
56.5,57.5,20.6,31.3,12.1,8.5,16.9,Transition,female
53,54,20.8,31.7,13.1,9.9,16.9,Transition,female
55,56,21.5,31.3,12.4,9.2,16.9,Dune,female
58.5,59,20.1,32,12.8,9.4,16.9,Dune,female
56.5,57.5,21.9,30.7,12,8.5,17,Marsh,female
55,56,21.3,31,11.3,8.3,17,Marsh,female
54,55,20.4,31.5,12.2,8.9,17,Marsh,female
54,55,20.2,31.3,13.3,9.4,17,Marsh,female
56,57,20.7,30.1,12,7.6,17,Transition,female
55.5,56.5,21.1,31,12.4,8.8,17,Transition,female
56,57,21,31.1,12.6,9.8,17,Transition,female
54,55,20.8,31.3,12.5,9.6,17,Transition,female
56,57,21.9,32.1,13.1,9.5,17,Transition,female
55,56,21.4,31.6,12.6,9.2,17,Dune,female
54,54.5,21.8,31.7,13.1,9.7,17,Dune,female
54,55,21.4,30.4,12.2,8.4,17.1,Marsh,female
54.5,56,20.9,31.1,12.9,9.5,17.1,Marsh,female
57,58,20.4,31.2,11.9,9.5,17.1,Marsh,female
56.5,57.5,21.9,31.6,13.4,9.6,17.1,Marsh,female
54,55,21,30.1,11.1,8,17.1,Transition,female
57,58,20.2,30.1,11.4,8.2,17.1,Transition,female
57.5,58.5,20.8,30.1,12.7,9.3,17.1,Transition,female
54,55,19.5,31.6,13.2,9.4,17.1,Transition,female
55,56.5,20.9,31.5,13.1,9.3,17.1,Dune,female
57,58,20.5,29.7,11.8,7.8,17.2,Marsh,female
56,57,21,30.1,11.6,8.6,17.2,Marsh,female
57,57.5,21.2,30.4,12.4,8.8,17.2,Marsh,female
56.5,57.5,21.2,30.7,11.7,8.1,17.2,Marsh,female
56.5,57.5,21.8,31.1,12.6,9.1,17.2,Marsh,female
55,57,22.9,31.2,12.7,9,17.2,Marsh,female
56,57,21,31.4,13.1,9.9,17.2,Marsh,female
60,61.5,20.9,31.7,12.7,9.7,17.2,Marsh,female
54,55,20.4,30,10.5,7.5,17.2,Transition,female
55,56,20.5,30.9,12.5,9.2,17.2,Transition,female
55.5,56.5,20.8,32.7,13.5,9.6,17.2,Transition,female
54,54.5,19.4,30.7,12.2,9.5,17.2,Dune,female
56,57,21.3,30.9,13,9.6,17.2,Dune,female
53,54,21,31.4,12.4,9.6,17.2,Dune,female
56.5,57.5,21.1,31.5,13.2,9.4,17.2,Dune,female
57,58,20.4,31.9,13.1,9.4,17.2,Dune,female
53,54,20.5,32.1,12.2,9.1,17.2,Dune,female
51,52,20.4,29.5,8.9,7.8,17.3,Transition,female
55,56,20.9,31.6,13.7,9.5,17.3,Dune,female
55,56,19.7,29,11.3,7.7,17.4,Marsh,female
54.5,55,20.9,30.4,12.3,8.3,17.4,Marsh,female
56,57,21.9,31.2,13.1,9.3,17.4,Marsh,female
53,54,20.5,31.5,13,9.9,17.4,Marsh,female
55,56,20.7,31.7,12.4,9.5,17.4,Transition,female
56.5,57,21.1,31.4,12.2,10.1,17.4,Dune,female
56,57,21.6,30.9,12,8.6,17.5,Marsh,female
54.5,55.5,20.2,30.9,12.4,9.3,17.5,Marsh,female
55,56,21.2,31,12.1,8.6,17.5,Marsh,female
59.5,60.5,21.3,31.4,12.7,9.4,17.5,Marsh,female
58,59,21.6,31.6,12.8,8.7,17.5,Marsh,female
58,59,21.3,31.8,12.9,8.8,17.5,Marsh,female
54.5,55,19.5,30.6,13,9.1,17.5,Marsh,female
56,57,21,30,11.8,8.2,17.5,Transition,female
62,62.5,20.7,30.4,11.3,8.1,17.5,Transition,female
54,55,20.1,30.9,12.2,8.6,17.5,Transition,female
55,56,21.2,31.2,13,9.6,17.5,Transition,female
56,57,20,31.2,13.1,8.9,17.5,Transition,female
57,58,21.4,31.5,14,9.4,17.5,Transition,female
54,55,20.9,31.6,12.7,9.8,17.5,Transition,female
55,56,20.9,32.1,13.1,9.5,17.5,Transition,female
55,57,21.2,32.4,13.8,9.7,17.5,Transition,female
57,58,20.7,32.5,13.3,9.9,17.5,Transition,female
55,56,20.8,31.6,12.8,9.2,18.2,Transition,male
55,55.5,21,32.2,12.9,9.7,18.5,Marsh,male
54,55,19.5,30.8,12.1,9.3,17.5,Dune,female
54.5,55.5,20.8,31.1,12,8.4,17.5,Dune,female
54.5,55.5,21,31.1,12.8,9.3,17.5,Dune,female
56,57,20.3,31.6,13,8.9,17.5,Dune,female
55,56,21.4,31.8,12.9,9.3,17.5,Dune,female
54,55,21.7,31.9,12.8,9.5,17.5,Dune,female
55,56,20.4,30.8,12.5,8.4,17.6,Marsh,female
56,58,20.6,30.9,11.3,8.9,17.6,Marsh,female
54,55,20.4,30.6,12.9,9.1,17.6,Marsh,female
54,54.5,19.9,31.3,12.8,9.3,17.6,Marsh,female
59,60,21.7,31.1,11.8,8.1,17.6,Transition,female
54,55,20.2,31.1,12.8,9.9,17.6,Transition,female
56,57,20.7,31.8,12.7,9.1,17.6,Transition,female
58,59.5,20.7,31.8,13.3,9.5,17.6,Transition,female
54,55.5,21.7,32,13.1,9.3,17.6,Transition,female
56,56.5,20.8,30.8,12.2,9.2,17.6,Dune,female
55,56,20.8,30.3,13,9.2,17.7,Marsh,female
54.5,56,20.1,31.2,12.3,9.7,17.7,Transition,female
55,56,20.3,31.7,13.2,9.7,17.7,Transition,female
56.5,57.5,21.2,32.2,13.1,10.2,17.7,Transition,female
53.5,54.5,20.2,30.9,12.8,10.1,17.7,Dune,female
54.5,55.5,20.1,31.2,12.7,9.5,17.7,Dune,female
56,57,21.3,30.4,12.9,9.2,17.8,Marsh,female
56,57,21.6,31.3,11.8,8.6,17.8,Marsh,female
56.5,57.5,21.8,31.5,13.2,9.2,17.8,Marsh,female
55,56,20.8,30.7,11.8,8.2,17.8,Transition,female
58,59.5,21,30.7,11.9,8.1,17.8,Transition,female
53.5,54.5,20.8,31.3,13,8.9,17.8,Transition,female
55,56,21.4,32.1,12.8,9.9,17.8,Transition,female
56.5,57,19.1,31.5,13.1,8.9,17.8,Dune,female
54,56,21.2,31.8,13,9.8,17.8,Dune,female
55,56,20.1,30.8,12.5,9.4,17.9,Marsh,female
57,58,22.1,31.2,12,8.6,17.9,Marsh,female
53.5,54,20.5,31.6,12.8,9.2,17.9,Marsh,female
56.5,57.5,20.4,31.2,11.2,8.4,17.9,Transition,female
55,55.5,20.1,30.9,12.5,8.9,17.9,Transition,female
54,55,19.7,31.6,13.3,9.8,17.9,Transition,female
55,56,21.3,30.9,12.7,9.8,18.5,Transition,male
55,56,21.1,31.8,13.1,9.4,19,Marsh,male
56.5,58,20,30,12.8,8.6,17.9,Dune,female
55,56,20.3,31.4,12.5,9.2,17.9,Dune,female
58.5,59.5,21.5,30.4,12.2,8.6,18,Marsh,female
58,59,21.4,31,12,8.3,18,Marsh,female
54,55,21.2,31.3,11.6,9.1,18,Marsh,female
55,56,21.9,31.3,11.8,8.5,18,Marsh,female
58,59.5,22.1,31.3,12.6,8.9,18,Marsh,female
57,58,21.2,31.4,11.9,8.9,18,Marsh,female
55,56,21.2,31.7,13.5,9.8,18,Marsh,female
55.5,56.5,20.9,29.8,11.9,7.5,18,Transition,female
58,58.5,21.4,31.3,12.6,9,18,Transition,female
57,58,21.2,31.6,12.5,10.6,18,Transition,female
55,56,21,31.8,13,9.3,19,Transition,male
55,56,21.6,31,12.8,8.9,19.2,Dune,male
55,56,22.2,32,12.8,9.5,19.8,Transition,male
56,57,21,31,13.2,9.1,18,Transition,female
55,56,19.5,31.3,12.9,9.2,18,Transition,female
54.5,55,20.2,31.3,13.2,8.9,18,Transition,female
55,56,21.3,31.6,13.7,10.5,18,Transition,female
56.5,57.5,20.6,31.7,13.4,9.8,18,Transition,female
54,55,20.9,31.9,12.9,9.8,18,Transition,female
56,56.5,20.7,32.1,12.7,10,18,Transition,female
56.5,57.5,20.5,31.7,12.9,9.2,18,Dune,female
60,61,21.6,30.1,11,7.5,18.1,Marsh,female
58,59.5,20.7,30.8,11.3,8.2,18.1,Marsh,female
58,58.5,22.9,30.8,12.3,9,18.1,Marsh,female
57.5,59,21.7,31.2,12,8.2,18.1,Marsh,female
59,60,21.4,31.2,12.1,8.5,18.1,Marsh,female
58,59,21.5,32.5,13.9,9.6,18.1,Marsh,female
54.5,55,20.7,29.1,10.8,7.4,18.1,Transition,female
57,59,21,31.2,11.8,8.7,18.1,Transition,female
54.5,55,20.1,30.7,12.6,8.9,18.1,Transition,female
56,57,21.2,31.2,13.1,10.2,18.1,Transition,female
55,56,20.3,31.5,13.1,9.3,18.1,Transition,female
55,56,20.9,31.6,12.6,9.2,18.1,Transition,female
56.5,58,20.1,31.7,13.3,10.4,18.1,Transition,female
56,57,21.1,31.3,13.4,9.1,18.1,Dune,female
54,55,21.4,31.6,13.2,9.2,18.1,Dune,female
59.5,60,21.9,30.8,13.6,9.4,18.2,Marsh,female
58.5,59.5,21.9,31.6,12.9,9,18.2,Marsh,female
57,57.5,21.8,31.7,12,8.8,18.2,Marsh,female
58,59,21.5,31.8,12.7,8.4,18.2,Marsh,female
60,61,22.9,32.3,12.9,10.2,18.2,Marsh,female
59,60,21.4,32.4,13.8,9.9,18.2,Marsh,female
55,56.5,21.4,32,12,9.5,20.2,Transition,male
57,58,20.1,32,12,9.3,18.2,Marsh,female
58,58.5,21.6,31.2,11.3,7.9,18.2,Transition,female
59,60.5,22.3,32.4,12.4,9.9,18.2,Transition,female
55,56,22.3,32.1,12.9,9.8,20.6,Dune,male
55,56,22.4,32.1,13.1,9.7,21.8,Dune,male
55.5,56,21.6,31.9,12.5,10.1,18,Transition,male
52.5,54,21.8,31.4,13,9.5,18.2,Transition,female
54,55,20.9,31.4,13.2,9.1,18.2,Transition,female
54,54.5,21.1,31.5,12.2,8.9,18.2,Transition,female
55.5,56.5,21.1,30.8,12.8,10,18.2,Transition,male
55,56,21.3,31.5,13.1,9.3,18.2,Dune,female
55,56,20.6,31.6,12.7,10,18.2,Dune,female
56.5,58,21.1,31.6,13.5,9.5,18.2,Dune,female
54.5,55.5,21.8,31.7,12.6,9.1,18.2,Dune,female
55,56,21.3,31.8,13.2,9.3,18.2,Dune,female
55.5,56.5,21.6,31.1,12.3,9,18.3,Transition,female
55,56,21.5,32.5,13,10,18.3,Dune,female
59.5,60,21.3,30.7,12.4,8.5,18.4,Marsh,female
57,58,21,31,10.3,7.3,18.4,Marsh,female
59,60,20.8,31.1,11.1,8,18.4,Marsh,female
57,59,22.1,31.3,12.6,9,18.4,Marsh,female
56,57,21.6,31.4,12.9,9.4,18.4,Marsh,female
55,56,20.9,31.5,12.1,8.9,18.4,Marsh,female
58.5,59.5,22,31.4,12.1,9,18.4,Transition,female
54,55,21.2,31.4,12.9,10.1,18.4,Transition,female
54.5,55.5,20.1,31.5,13.3,9.1,18.4,Transition,female
54.5,55.5,20.5,31.6,13,9.6,18.4,Transition,female
58,59,19,31.6,13.6,9.7,18.4,Dune,female
55.5,56.5,20.2,31.7,12.9,9.3,18.4,Dune,female
58,59,20.9,30.6,12.4,8.7,18.5,Marsh,female
58.5,59.5,21.8,31,13,9.1,18.5,Marsh,female
56.5,57.5,22,31.5,12.3,8.9,18.5,Marsh,female
58,58.5,22.5,31.5,14.3,10.2,18.5,Marsh,female
59,60,21.5,31.8,12.2,9.2,18.5,Marsh,female
58.5,59.5,21.7,32,12.4,9.5,18.5,Marsh,female
55.5,56.5,21.4,32,13,9.7,19,Transition,male
59,60,20.7,30.6,12.2,8.4,18.5,Transition,female
57,58,20.9,31.4,11.4,8.3,18.5,Transition,female
55.5,56,20.8,32.4,13,9.4,19.7,Marsh,male
55.5,56,21.6,32.4,13.3,9.8,19.8,Dune,male
56,57,21.2,31.2,13.5,9.1,18.5,Transition,female
54,55,21.5,31.6,13,9.7,18.5,Transition,female
55,56,21.6,32.1,13.4,9.5,18.5,Transition,female
53.5,55,20.1,32.1,13.7,9.8,18.5,Transition,female
55.5,56.5,21.9,31.9,13.3,10.1,20,Transition,male
55.5,56,20.9,31.2,13.2,10,20.5,Dune,male
56,57,20.2,31.4,12.8,8.8,17.9,Dune,male
56,56.5,21.3,30.5,13,9.1,18.5,Dune,male
57,58,20.2,30.8,12.9,8.8,18.5,Dune,female
55,56,20.6,31.7,12.9,9.6,18.5,Dune,female
54,55,21.6,31.7,13.5,9.6,18.5,Dune,female
57,58.5,21.2,31.8,13.6,9.6,18.5,Dune,female
55.5,56,20.8,32,13.8,9.3,18.5,Dune,female
59,60,22.4,31.5,12.7,8.5,18.6,Marsh,female
58,59,20.7,31.8,12.6,9.3,18.6,Marsh,female
61,62,20.5,31.3,12,8.8,18.6,Transition,female
56,58,20.4,31,12.7,9.1,18.5,Dune,male
56,58,21.6,31.1,13.1,9.3,18.6,Transition,male
56,57,20.8,31.5,12.9,9,18.6,Dune,male
54,55,20.2,31.4,12.5,9.1,18.6,Transition,female
56,57,21.1,32.3,13.5,9.7,18.6,Transition,female
56,57,21,31.4,12.6,9.1,18.7,Marsh,male
56,57,20.7,31.4,13,9.1,18.8,Dune,male
56,57,19.6,31,12.8,9.3,18.6,Dune,female
55,56,20.7,31.8,13.5,10,18.6,Dune,female
55,56,20.7,32.2,13.7,9.8,18.6,Dune,female
58,59,21.8,28.8,11.4,8.9,18.7,Marsh,female
58,58.5,21.9,32.2,13,9.3,18.7,Marsh,female
59,60,21.3,32.4,13.3,9.6,18.7,Marsh,female
58,61,21.9,32.7,13.4,9.7,18.7,Marsh,female
60,61.5,23.4,33,14.4,10.3,18.7,Marsh,female
56,57,21.1,32,11.7,9,18.9,Dune,male
56.5,58,21.1,29.1,11,7.1,18.7,Transition,female
58,59,21.7,32.4,12,9.4,18.7,Transition,female
56.5,58,22.3,32.5,13.8,10.5,18.7,Transition,female
56,57,20.6,31.7,12.9,9,19,Transition,male
54,55,21.1,21.1,13.1,9.6,18.7,Transition,female
55.5,56.5,21.3,31.8,13.5,9.3,18.7,Transition,female
54.5,55,21.2,30.9,12.7,9.1,18.7,Dune,female
56,57,21.4,31.5,12.4,9.5,18.8,Marsh,female
59,60,22.1,31.5,12.8,8.9,18.8,Marsh,female
58.5,60,21.8,31.9,12.9,8.9,18.8,Marsh,female
56,57,21.9,30.6,13.3,9.8,19,Dune,male
53,54,20.5,31.5,12.7,9.3,18.8,Marsh,female
58,59,21.1,30.7,11.2,7.6,18.8,Transition,female
58,59.5,21.4,31,11.4,8.3,18.8,Transition,female
60,61,22.4,31.3,12.4,8.7,18.8,Transition,female
56,58,20.9,31.2,12.5,9.5,19,Dune,male
54,55,22.1,31.1,12.5,9.2,18.8,Transition,female
54,55,21.3,32.2,13.1,9.5,18.8,Transition,female
54,55,21.3,32.6,13.7,9.5,18.8,Transition,female
56,57,22,32.1,12.5,9.7,19.1,Marsh,male
56,57,20.6,31.4,12.2,9.1,19.2,Transition,male
56,57,20.7,31.4,12.8,9.4,19.2,Dune,male
56,57,21.2,31.5,11.9,8.8,19.2,Dune,male
56,57.5,20.7,31.5,13.2,9.3,19.3,Marsh,male
55,56,20.6,30.5,12.6,9.9,18.8,Dune,female
56,56.5,20.3,31,12.5,9.2,18.8,Dune,female
56,56.5,20.4,31.2,13.1,9.6,18.8,Dune,female
56,57,20.2,31.4,12.9,9.1,18.8,Dune,female
57,58.5,21.2,31.5,12.4,9,18.8,Dune,female
53.5,54.5,21.2,31.8,12.8,9.1,18.8,Dune,female
57,58,21,32.1,13.2,9.7,18.9,Transition,female
56,57,21.6,32.3,12.9,10.1,19.3,Transition,male
55,56,19.5,30.5,12,9,18.9,Dune,female
59,60,21.8,32.4,13.7,10.2,19,Marsh,female
56,57,22,32.3,13.1,9.5,19.3,Transition,male
60,61,21.6,30.9,12.6,9,19,Marsh,female
54,55,21.7,32,13,9.4,19,Marsh,female
59.5,60.5,21.6,31.7,13.1,9.7,19,Transition,female
56,57,20.6,31.2,12.7,8.8,19.4,Marsh,male
56,57,21.4,31.6,13,9.5,19.4,Transition,male
56,57,20.9,31.6,13,9.3,19.4,Dune,male
56,57,20.4,31.8,12.3,9.6,19.5,Dune,male
56,57,21.4,31.9,13,10,19.5,Dune,male
56,57,22.2,31.1,12.7,9.4,19.7,Transition,male
56,57,20.5,31.3,12.5,8.9,19.7,Transition,male
56,57,20.1,31.2,12.3,9.4,19,Dune,female
56,57,21.6,31.8,12.6,9,19.7,Transition,male
56,57,22.3,32.7,13.5,10.2,19.8,Marsh,male
56,57,21.6,32.1,12.8,9.1,19.8,Transition,male
56,56.5,20.7,31.3,12.9,9.6,20,Transition,male
56,57,21.9,32.5,13.1,9.6,20.5,Dune,male
56,57,21.9,31.8,13.1,9.1,20.6,Dune,male
56,57,21.7,32.1,12.7,9.9,20.6,Dune,male
56,57,21.9,32.7,13.3,9.7,20.8,Transition,male
56,57,21.9,31.8,13.2,9.5,21.2,Transition,male
56.5,58,20.4,31.4,13.1,9,17.5,Dune,male
56.5,57.5,21.4,31.9,13.1,9.5,18.8,Dune,male
54,55,20,31.3,12.3,9,19,Dune,female
55,56,20.1,31.3,12.7,9.9,19,Dune,female
56,57,20.6,31.4,12.3,9.1,19,Dune,female
57,58,21.7,31.6,13,9.4,19,Dune,female
56,56.5,21.7,31.8,12.9,9.8,19,Dune,female
53,54.5,20.5,31.9,12.9,9.6,19,Dune,female
57,58,21.4,32.4,13.9,9.5,19,Dune,female
57,58,21.4,31,12.1,8.4,19.1,Marsh,female
56.5,57.5,21.6,31.1,12.7,9.5,19.2,Dune,male
56.5,58,21.5,32.4,13.3,10,19.2,Dune,male
56.5,57,20.7,31.2,13.2,9.6,19.5,Dune,male
55,56.5,20.8,31.9,13.6,9.4,19.1,Marsh,female
56.5,57.5,21.8,32.1,13.1,9.6,19.5,Dune,male
56.5,57,21.4,32.3,12.9,9.3,19.5,Dune,male
56.5,57,21.6,31.6,12.9,10,19.6,Transition,male
56.5,57.5,21.5,32.1,13,9.6,19.6,Dune,male
56.5,57.5,21.3,32.5,13.1,9.4,19.7,Transition,male
56.5,58,20.4,31.2,13.1,9.6,20,Transition,male
54,55.5,21.1,30.8,12.4,8.4,19.1,Dune,female
55,57,20.7,31.2,12.7,9.1,19.1,Dune,female
54.5,55.5,21.2,31.7,12.6,9.6,19.1,Dune,female
